Preferred Entry Date 1,Preferred Division 1,Minimum Acceptable Group Size 1,Maximum Requested Group Size 1,Preferred Entry Date 2,Preferred Division 2,Minimum Acceptable Group Size 2,Maximum Requested Group Size 2,Preferred Entry Date 3,Preferred Division 3,Minimum Acceptable Group Size 3,Maximum Requested Group Size 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
7/25/21,Core Enchantment Zone,7,7,8/1/21,Core Enchantment Zone,7,7,7/25/21,Snow Zone,8,8,Unsuccessful,,,,
8/12/21,Core Enchantment Zone,8,8,8/12/21,Colchuck Zone,8,8,8/12/21,Eightmile/Caroline Zone,8,8,Unsuccessful,,,,
7/30/21,Core Enchantment Zone,4,4,8/14/21,Core Enchantment Zone,4,4,7/16/21,Core Enchantment Zone,7,7,Unsuccessful,,,,
7/1/21,Core Enchantment Zone,4,4,6/9/21,Snow Zone,4,4,7/7/21,Colchuck Zone,4,4,Unsuccessful,,,,
6/21/21,Colchuck Zone,2,2,6/28/21,Colchuck Zone,2,2,7/13/21,Stuart  Zone,2,2,Unsuccessful,,,,
8/6/21,Core Enchantment Zone,4,4,8/13/21,Core Enchantment Zone,4,4,9/17/21,Core Enchantment Zone,4,4,Unsuccessful,,,,
8/10/21,Core Enchantment Zone,8,8,8/11/21,Core Enchantment Zone,8,8,8/17/21,Colchuck Zone,8,8,Unsuccessful,,,,
7/8/21,Core Enchantment Zone,2,2,8/5/21,Core Enchantment Zone,2,2,8/12/21,Core Enchantment Zone,2,2,Unsuccessful,,,,
8/31/21,Colchuck Zone,2,2,9/1/21,Colchuck Zone,2,2,9/2/21,Colchuck Zone,2,2,Unsuccessful,,,,
8/19/21,Colchuck Zone,4,4,8/19/21,Core Enchantment Zone,4,4,8/26/21,Colchuck Zone,4,4,Unsuccessful,,,,
8/12/21,Colchuck Zone,8,8,8/19/21,Colchuck Zone,8,8,,,,,Unsuccessful,,,,
